University No. ,CE332,CE306,CE334,CE308,CE352,HS300,CE366,CE302,CE372,CE362,CE304
RET15CE001,B+,A,B+,B+,B,B+,,B,C,,C,
RET15CE002,B+,F,B,B,C,C,B,C,,,F,
RET15CE003,B+,F,C,B,P,B+,B,C,,,C,
RET15CE004,C,F,B+,F,P,F,C,F,,,FE,
RET15CE005,A,B,B,C,P,B+,B+,F,,,B+,
RET15CE006,B+,B,B,B,C,B,,B,B,,F,
RET15CE007,A+,B+,A,C,B,A,,A,B+,,B,
RET15CE008,A,A+,B+,B+,B,B+,,B+,B+,,B+,
RET15CE009,A,B+,A,B+,B,A,,B+,,B+,A,
RET15CE010,B+,F,B,F,C,B,C,C,,,F,
RET15CE011,B+,B,B+,C,C,F,C,F,,,F,
RET15CE012,B+,F,B,C,C,B,,F,,C,B,
RET15CE013,B+,B,B,B,C,B+,B,B,,,C,
RET15CE014,A,F,B,B,C,B+,,B+,B+,,B,
RET15CE015,O,A+,A+,A+,B+,B+,,O,,A,A+,
RET15CE016,B+,F,B,C,P,B,B+,C,,,C,
RET15CE017,O,O,O,A,B,A,,A+,,B+,O,
RET15CE018,A+,B+,B+,F,B,B+,B+,A,,,B,
RET15CE019,A+,A,A+,O,A+,O,,A+,A+,,O,
RET15CE020,O,A,A+,O,A+,A+,,A+,A,,O,
RET15CE022,A,O,B+,C,B,B,,B,B,,B,
RET15CE023,B+,B,B+,F,P,C,,C,,C,C,
RET15CE024,B+,B,B+,C,C,B+,B+,C,,,F,
RET15CE025,B+,F,B+,C,C,C,B,F,,,F,
RET15CE026,A+,A+,B+,B,B,A,,A,,B+,B+,
RET15CE027,A,O,A+,B+,B,C,,A+,,B+,B+,
RET15CE028,B+,B+,B+,F,C,B+,,B+,,B,B,
RET15CE029,A,O,A+,B+,B,B+,B+,F,,,B,
RET15CE030,A+,B,O,C,B,B+,,F,,B,B+,
RET15CE031,B+,C,A,B,B,B+,,B,,B,B,
RET15CE033,B+,O,A+,B,C,B,,C,B,,B,
RET15CE034,B+,O,B+,B,P,A,B+,B+,,,C,
RET15CE035,A+,O,O,A,B,A+,,O,,B+,A+,
RET15CE036,A+,B,A,B+,B,A,A,B+,,,F,
RET15CE037,B+,C,A,C,C,B,B+,B,,,C,
RET15CE038,B,B+,B,F,C,C,,C,C,,F,
RET15CE039,A+,O,A+,B+,A,A+,,A+,,B+,A+,
RET15CE040,B,B+,C,F,P,F,B,C,,,FE,
RET15CE041,A+,O,A+,A+,B,A+,,B+,,B+,A+,
RET15CE042,A+,B+,B+,B+,B,B+,,A,,B+,A+,
RET15CE043,A,O,A,B+,B,A,,B,,B,B+,
RET15CE044,A,A,A+,B,B,B+,,B+,,B,B+,
RET15CE045,A+,B+,A,B+,C,B+,,C,,B,B+,
RET15CE046,A,B+,A+,B+,B,B+,,B,,B,B,
RET15CE047,B+,B+,B+,B+,P,B+,B+,B,,,B,
RET15CE048,A,B+,A+,B,B,A,,B+,B+,,B+,
RET15CE050,A+,O,O,O,B+,O,O,O,,,O,
RET15CE051,A,O,O,B+,B+,A,O,A,,,B+,
RET15CE052,O,O,A,A+,B+,O,,A+,A+,,A,
RET15CE053,A+,B,A,B+,B+,A+,,A,,B+,B+,
RET15CE054,I,FE,I,FE,FE,FE,FE,FE,,,FE,
RET15CE055,B+,B,A,B,P,B+,,B,,C,B+,
RET15CE056,A,B,A+,C,B,B+,,B+,,B,B+,
RET15CE057,B,C,B+,F,P,B,,F,C,,P,
RET15CE058,A,B+,B+,B+,C,A+,,B,,C,F,
RET15CE059,A,B,A,B+,P,A,B+,B,,,B,
RET15CE060,A+,B+,B+,B,C,A,B+,B,,,B+,
RET15CE061,A+,B+,A+,B,B,O,,B+,,B,B+,
RET15CE062,B+,B,B+,C,C,B,B,F,,,F,
RET15CE063,B+,B,B+,O,B,B+,,A,B,,B+,
RET15CE064,B+,F,B+,B,P,B,B,C,,,F,
RET15CE065,A+,O,A+,A+,B,O,O,O,,,A+,
RET15CE066,B+,B,B+,B+,C,A+,,A,A+,,B,
RET15CE067,A,A,A,B,B,B+,,B+,,B,B+,
RET15CE068,A+,O,A,B,C,Absent,,A+,,B,A,
RET15CE069,P,F,B,FE,F,F,F,F,,,Absent,
RET15CE070,B+,A,B+,C,C,B+,B+,B+,,,B,
