University No. ,EE332,EE306,EE334,EE308,EE352,HS300,EE364,EE302,EE368,EE304
RET15EE002,A+,B,A,B,C,A,,C,A,B,
RET15EE003,A,B+,B+,B,P,A,,B,B+,B+,
RET15EE004,A,A,A,B,F,B+,,B,B+,B,
RET15EE005,A+,B+,O,B+,C,B+,A,B,,A+,
RET15EE006,B+,B,A,F,P,B+,,C,B+,B+,
RET15EE007,A+,A+,A+,C,C,O,A+,A+,,A+,
RET15EE008,A+,O,A+,A+,B,A+,,A+,O,A+,
RET15EE009,B+,B,A+,B,P,A,,A,B+,B,
RET15EE010,B+,A+,B,B,C,A,,B+,A+,B,
RET15EE011,B+,C,B+,F,F,B,,P,F,P,
RET15EE012,B,B,B,F,P,A,,B,B+,F,
RET15EE013,A,A,A+,B,C,B+,A+,B+,,B+,
RET15EE014,A,B+,B,C,C,B+,,B+,B+,B+,
RET15EE015,A,F,B+,F,F,C,,F,P,F,
RET15EE016,B,C,A,F,F,B+,P,C,,F,
RET15EE017,B,F,B+,F,F,F,,C,F,F,
RET15EE018,A,B+,B,C,C,A,,B,B+,B+,
RET15EE019,B+,C,B,B,F,F,,F,C,F,
RET15EE020,A,B+,B+,B,P,A,,B,A+,B+,
RET15EE021,A,B,A,B,C,B+,,B,B,A+,
RET15EE022,B+,B,A,B+,C,B,,F,B,B+,
RET15EE023,B,C,B,C,F,B,,C,C,B,
RET15EE024,A+,A,A,B+,C,B+,,B,A+,A+,
RET15EE025,A+,B+,A,B+,C,B,,C,B+,B+,
RET15EE026,B,B,A+,B,C,B,,B,B+,B+,
RET15EE027,B,P,B+,F,F,F,,F,C,C,
RET15EE028,O,A,A+,B,P,A,,C,B+,A+,
RET15EE029,A+,B+,B+,B+,F,B+,C,B,,B+,
RET15EE030,O,O,O,A+,B,A,A,A,,A+,
RET15EE031,B+,C,B,B,P,C,,C,C,F,
RET15EE032,A+,A,A+,B,C,C,,B+,B,B+,
RET15EE033,A,B+,O,B,B,B+,B,B,,B+,
RET15EE034,B+,C,B,F,P,C,,C,B,B,
RET15EE035,A,C,A,C,C,B+,,C,B+,C,
RET15EE036,B+,C,A,F,C,C,,F,C,P,
RET15EE037,A,B,A,F,P,B,,F,B+,C,
RET15EE038,B+,B,B+,F,F,C,,F,C,C,
RET15EE039,B+,C,B+,F,C,B,,F,B,F,
RET15EE040,A+,B,A,C,P,B+,,B,B+,B,
RET15EE041,B,C,B+,F,P,C,,F,F,P,
RET15EE042,A,C,A,F,B,C,,C,C,C,
RET15EE043,O,C,A+,F,C,B+,B+,F,,B,
RET15EE044,A+,C,A,F,C,A+,,C,A+,C,
RET15EE045,A+,B+,A,C,P,A+,,F,B+,B,
RET15EE046,B+,C,B,F,F,B+,,C,B,C,
RET15EE047,B+,P,B,F,F,B,,C,F,P,
RET15EE048,A,B+,B+,C,P,A+,,B,B+,B,
RET15EE049,B+,C,B+,B+,P,O,,B+,B+,B+,
RET15EE050,A,B+,A,B+,C,A+,,B,A,C,
RET15EE051,O,O,A+,A,B,O,,A,A+,A+,
RET15EE052,A+,A,A,B+,C,A+,,B+,A,A+,
RET15EE053,A,B,B+,B+,C,A+,,B,A,B+,
RET15EE054,A+,B,A,B+,P,A+,,B,A,B+,
RET15EE055,A+,B,A,B,P,A+,,C,B+,B+,
RET15EE056,A,B,B+,B+,P,A+,,B,O,A,
RET15EE057,O,B,O,B,C,B+,,F,B,B+,
RET15EE058,O,A,A+,A,P,A+,,B+,B+,O,
RET15EE059,A,B,A,B+,P,A,,B,A,A,
RET15EE060,B+,F,B+,F,F,C,,F,C,C,
RET15EE061,B+,B,A,C,P,A,,F,B,B+,
RET15EE062,B+,F,A+,F,Absent,B+,C,F,,B,
RET15EE063,O,A+,O,A,B,A+,B+,B+,,O,
RET15EE064,B+,P,B+,C,P,A,,C,B+,B,
RET15EE065,O,B+,A+,B+,C,A+,B,B,,A,
RET15EE066,O,B+,A+,F,C,B+,,B,B,B+,
RET15EE067,A+,B,A,B+,C,B+,,B+,B+,B+,
